nominal_wage_everyone,net_mig,type,year
5048.626157006158,-19.646103849771972,Low skill,1940
6368.589900608166,-18.631969451627274,Low skill,1940
7319.113773475446,-30.47847278492429,Low skill,1940
8389.712304152048,-20.09968060346993,Low skill,1940
9275.665384095082,-12.099999276634273,Low skill,1940
10039.626041282656,-7.140969990277785,Low skill,1940
11082.086977630968,-8.279669598344379,Low skill,1940
12077.991690151935,-0.15537341029234494,Low skill,1940
12892.440806003528,4.68575409219649,Low skill,1940
13923.03144040496,13.345873674114909,Low skill,1940
15235.79863813084,8.93559737543392,Low skill,1940
16613.624155128637,11.678654002947704,Low skill,1940
17744.753928008704,18.10915760448969,Low skill,1940
19003.86771718332,11.206592705735408,Low skill,1940
20221.297675182137,5.548007769825215,Low skill,1940
21757.870939810226,11.614474617339658,Low skill,1940
23000.689068549644,8.188099488519237,Low skill,1940
24676.22551395783,13.94657668432145,Low skill,1940
26363.915281722297,0.5730152741529014,Low skill,1940
29865.033554707483,-1.8831438584796911,Low skill,1940
NaN,NaN,Low skill,1940
5096.151153857252,-4.337147323574198,High skill,1940
6411.384234195159,-6.1820808734628425,High skill,1940
7358.582471390777,-13.74982004518933,High skill,1940
8409.607795857648,-7.829534725116137,High skill,1940
9299.115933255354,-7.258590912460148,High skill,1940
9985.858581779687,-4.0290298363615715,High skill,1940
11072.670927433777,-5.635327690367588,High skill,1940
12116.904934329248,-3.4455396413423145,High skill,1940
12909.836728041191,3.1927563481193912,High skill,1940
13932.26304197279,5.155306176945984,High skill,1940
15254.805640231172,2.19634586572679,High skill,1940
16616.50353194157,10.952826840355298,High skill,1940
17741.029974885572,9.147310550068378,High skill,1940
18967.537384191917,3.531493847631627,High skill,1940
20191.253592572164,5.226810679155062,High skill,1940
21792.86971053382,4.159650362290866,High skill,1940
23026.78146106952,0.43097066147415236,High skill,1940
24682.41612384637,14.497501338486089,High skill,1940
26367.02654402019,1.3203190004511534,High skill,1940
29777.166567501085,-0.44545989106718864,High skill,1940
NaN,NaN,High skill,1940
52715.20246277289,-1.9116647252483987,Low skill,2016
55890.11107989899,-3.6755591974557746,Low skill,2016
58513.26049322701,0.1142557297132553,Low skill,2016
60267.25447655452,-2.122011896684745,Low skill,2016
61843.46888048784,-0.4227852933181365,Low skill,2016
63319.625928004265,-0.09542442603570808,Low skill,2016
64641.35376917051,-1.8676835578602566,Low skill,2016
66041.36370135249,1.867265836609473,Low skill,2016
67446.90594122127,-0.30089935063860096,Low skill,2016
69138.50963925959,-0.5840297076444657,Low skill,2016
70643.67626816507,0.7933395284320909,Low skill,2016
72081.34587744615,1.7313890975620938,Low skill,2016
74068.8511825858,3.1567119766157496,Low skill,2016
76513.68339774023,0.779175656236186,Low skill,2016
78929.71865560424,2.366308491092357,Low skill,2016
81383.69508918363,0.5981946571318918,Low skill,2016
85991.29383754161,-0.4886464060623083,Low skill,2016
93065.04839065386,0.026085795595514667,Low skill,2016
101714.74779051213,-0.28178743442096915,Low skill,2016
123997.44013257936,-2.044599437348243,Low skill,2016
52715.20246277289,-2.1906041306834796,High skill,2016
55890.11107989899,-1.9321930011900077,High skill,2016
58513.26049322701,-1.5633085557592108,High skill,2016
60267.25447655452,-1.2152062009061537,High skill,2016
61843.46888048784,-1.3475919745981808,High skill,2016
63319.625928004265,-1.7470849201052152,High skill,2016
64641.35376917051,-0.28431649730562264,High skill,2016
66041.36370135249,-0.6458553683099088,High skill,2016
67446.90594122127,-1.8800691700658845,High skill,2016
69138.50963925959,-0.255700186103311,High skill,2016
70643.67626816507,-0.18731167303139698,High skill,2016
72081.34587744615,-0.9196856810130414,High skill,2016
74068.8511825858,-0.8797533209891923,High skill,2016
76513.68339774023,-0.31275961771658584,High skill,2016
78929.71865560424,0.7040900579162261,High skill,2016
81383.69508918363,0.717690136602125,High skill,2016
85991.29383754161,0.7883749358367126,High skill,2016
93065.04839065386,1.1879295454901797,High skill,2016
101714.74779051213,1.5664201115804817,High skill,2016
123997.44013257936,0.021444371479636768,High skill,2016
