state,migpuma_name,net migration,raw net migration,migpuma1,n_obs_for_median_real_wage,median_real_wage,migpuma_population,top_place_population,proportion_in_named_place,n_out,n_in,n_obs_n_in,net migration (not foreign)
Texas,Capital Area COG,0.007165619470624346,3175,5200,2800,78115.99999999999,443088,338660,0.7643176976131152,6617,9792,462,0.006660076553641714
Oregon,Deschutes County,0.006102051551814834,986,400,528,56496.85714285712,161585,161585,1,2246,3232,102,0.006102051551814834
Texas,Capital Area COG,0.006016150122731757,1049,5400,817,63673.95,174364,174364,1,1740,2789,120,0.005608955977151247
Indiana,Hamilton County,0.0056052015370733205,1994,1800,2222,91320.8,355741,239918,0.6744176240579522,6575,8569,283,0.005374696759721258
Tennessee,Williamson County,0.005552690476309689,1109,2600,1691,97286.66666666666,199723,199723,1,4058,5167,216,0.004596365966864107
Tennessee,Sumner County,0.005540714356386663,896,500,710,68412.72727272728,161712,161712,1,1347,2243,108,0.0049099633917087165
South Carolina,York County,0.005157910771105545,1219,500,1035,77257.13114754087,236336,236336,1,2567,3786,137,0.004849028501794056
Texas,Denton County,0.004994824193979612,3643,2000,5385,84023.70731707287,729355,729355,1,12850,16493,828,0.004187261347354854
Virginia,Richmond City,0.0049233881580645,954,51235,1473,53385.909090909096,193769,193769,1,4845,5799,311,0.0045724548302360024
North Carolina,Charlotte City,0.004684212531591447,4426,3100,7043,72542.82926829293,944876,574532,0.6080501568459776,23600,28026,1271,0.0037899152904719772
Georgia,Atlanta Regional Commission,0.004543827008811036,3236,3000,4833,75155.21276595737,712175,712175,1,13129,16365,648,0.0034780777196616
Washington,King County,0.004478163486137005,9113,11600,14333,86374.99999999648,2034986,1385717,0.6809466993876125,52897,62010,2408,0.002223111117226359
Texas,Houston-Galveston Area Council,0.004454118879180229,2169,4500,1605,93657.99999999991,486965,486965,1,5428,7597,277,0.0031172671547236453
California,Marin County,0.0043492408669910075,1096,4100,1805,84600.6792452831,251998,251998,1,4961,6057,250,0.0030357383788760226
North Carolina,Wake County,0.004257228408249406,4099,1200,7244,78465.00000000074,962833,698011,0.7249554180216091,20272,24371,1037,0.003287174411346516
Colorado,"La Plata, Montezuma, Gunnison, Archuleta, Dolores, Hinsdale & San Juan Counties",0.004196970132520769,438,900,711,47668.733333333315,104361,104361,1,1579,2017,99,0.004196970132520769
Virginia,Alexandria City,0.0041789930206508315,582,51255,1970,84306.45283018873,139268,139268,1,8621,9203,438,-4.8826722578050954e-4
California,Santa Clara County,0.004111783100957797,7450,8500,13469,114205.46808510623,1811866,1811866,1,38848,46298,2144,7.412247925619223e-4
Virginia,Loudoun County,0.004085649443244189,1424,10700,3319,116225.99999999882,348537,348537,1,6804,8228,388,0.003239254368976608
Arkansas,Benton County,0.003975952372012299,953,100,1042,86292.50704225348,239691,239691,1,2593,3546,168,0.0027493731512655876
Virginia,"James City, York Counties, Williamsburg & Poquoson Cities",0.0038419772529545123,605,51206,862,81622.93827160494,157471,157471,1,2125,2730,125,0.001511389398682932
Maine,South Maine,0.0037210762859890487,1896,790,2054,64904.88888888889,509530,170780,0.33517162875591233,7006,8902,270,0.002951739838674857
Alabama,Shelby County,0.003600505847555941,689,1200,1222,75767.98969072165,191362,191362,1,2394,3083,118,0.0031197416414962217
Montana,North Central Montana,0.0035715028745396922,515,400,617,51017.88888888892,144197,144197,1,807,1322,72,0.0035368280893499863
South Carolina,Beaufort & Jasper Counties,0.003571015259477243,648,1400,664,53196.76785714279,181461,181461,1,1386,2034,104,0.0029427810934580982
Alabama,Baldwin County,0.0035267844195017257,608,2600,529,71733.93975903613,172395,172395,1,1271,1879,70,0.003439774935467966
Texas,Permian Basin Regional Planning Commission,0.0035247007132826295,507,3000,467,81815.61061946902,143842,143842,1,1752,2259,77,0.003177097092643317
Georgia,Three Rivers Regional Commission,0.0035142088211089777,474,2100,556,74620.95652173914,134881,134881,1,897,1371,54,0.002869195809639608
Maryland,Howard County,0.003507634760356638,1039,900,2574,109624.93617021023,296211,296211,1,5922,6961,280,0.002511723062276553
Michigan,Oakland County,0.0034794996275547612,4162,2900,7553,87044.82758620677,1196149,1196149,1,20668,24830,961,0.001982194525932806
Florida,Santa Rosa County,0.0034491678882469603,560,11300,553,71022.54054054055,162358,162358,1,1497,2057,80,0.0029133150198943076
Tennessee,Nashville-Davidson,0.0034478192188726717,2187,2500,4135,56285.949152542446,634314,634314,1,14912,17099,792,0.002799875140703185
Louisiana,Regional Planning Commission 6,0.00338150686159122,1132,2400,3290,53827.20000000088,334762,122593,0.3662094263984562,7083,8215,638,0.0020641530400702587
Oregon,Washington County,0.0033555065006017023,1818,1327,3315,79931.69387755056,541796,541796,1,9563,11381,520,0.0020561244453631993
North Carolina,Moore & Montgomery Counties,0.003342128408091469,380,3700,394,69137.4705882353,113700,113700,1,906,1286,49,0.0027440633245382584
Oklahoma,Canadian County,0.00333978454107935,390,800,352,71821.5,116774,116774,1,1028,1418,38,0.002560501481494168
North Carolina,Buncombe County,0.0033036123530887046,764,2200,1282,51958.111111111015,231262,231262,1,3883,4647,220,0.003134972455483391
Virginia,Northern Shenandoah Valley Regional Commission,0.003295134543178974,337,51085,308,68466.28947368417,102272,102272,1,389,726,34,0.003295134543178974
Kentucky,Bluegrass Area Development District,0.0032292881639190154,371,2000,465,58821.562499999636,114886,114886,1,989,1360,59,0.0032292881639190154
Nebraska,Southeast Nebraska,0.0031996509471694,440,600,605,57332.18749999988,137515,137515,1,453,893,58,0.0026469839653855943
Wisconsin,Marathon County,0.0031958468994283487,426,1600,535,74646.15384615384,133298,133298,1,739,1165,46,0.0030458071388918062
Georgia,Northeast Georgia Regional Commission,0.0031916095503502296,339,3700,607,78167.53571428572,106216,106216,1,237,576,51,0.0030598026662649693
Texas,Collin County,0.003154570497968194,2738,1900,6947,90564.51923076922,867947,867947,1,16034,18772,935,0.0020151000003456434
Oregon,Clackamas County,0.0031241538749921896,1200,1326,1833,76997.14999999932,384104,384104,1,4947,6147,265,0.0028586007956178535
Maryland,Montgomery County,0.0031232434310709575,3056,1000,9253,99630.00000000125,978470,978470,1,21798,24854,1152,8.799452205995074e-4
Florida,Leon County,0.0030999722278517118,826,7300,1919,57710.999999998974,266454,266454,1,5296,6122,320,0.002255548800168134
California,San Mateo County,0.0030950218099901287,2201,8100,5287,104888.66666667044,711142,711142,1,13625,15826,778,0.001500403576219658
Missouri,"Cole, Callaway, Moniteau & Osage Counties",0.0030949586407332886,443,500,594,59158.41666666671,143136,143136,1,1273,1716,63,0.002207690587972278
North Carolina,New Hanover County,0.003092469018112488,811,4690,1205,59232.77777777767,262250,156722,0.5976053384175405,3986,4797,207,0.0025395614871306007
Wyoming,"Sweetwater, Fremont, Uinta, Sublette & Hot Springs Counties",0.0030613238013501676,346,500,419,71874,113023,113023,1,888,1234,60,0.0028843686683241465
Louisiana,Coordinating & Development Corporation 3,0.003058005536599498,475,200,466,64114.545454545485,155330,155330,1,1453,1928,79,0.0022339535183158437
Delaware,Sussex County,0.0030388020145762865,610,300,737,70744.9180327869,200737,200737,1,1077,1687,102,0.0030388020145762865
North Carolina,Henderson & Transylvania Counties,0.003018167043937547,416,2500,458,46485.60000000004,137832,137832,1,986,1402,70,0.00290933890533403
