MSA Title,net migration,raw net migration,met2013,n_obs_for_median_real_wage,mean_nominal_wage,median_nominal_wage,mean_real_wage,median_real_wage,n_in,n_out,MSA 2010 Population
"Coeur d'Alene, ID",0.026203301226045892,3629,17660,754,51010.96189058765,45569,38290.189599963924,31849.142857142833,3629,0,138494
"Pueblo, CO",0.025851392215662978,4112,39380,1157,51293.636096014496,42195.88888888887,39779.82305253623,31273.910256410232,4112,0,159063
"Denver-Aurora-Lakewood, CO",0.025411227600588483,64633,19740,16501,67501.73245369707,55641,51377.74868823845,40607,64633,0,2543482
"Grand Junction, CO",0.023057053086428168,3383,24300,722,57769.731291700664,48643.41935483851,44662.31267700283,34477.203296703294,3383,0,146723
"Charlotte-Concord-Gastonia, NC-SC",0.022008902071797537,48794,16740,16300,55920.97761661639,45000,43848.53736365746,34027.631578947476,48794,0,2217012
"Huntsville, AL",0.02179155301932743,9100,26620,2036,53111.984412782265,43567.12587412587,42280.08984040772,33907.8064516129,9100,0,417593
"Winston-Salem, NC",0.02016250517097386,12916,49180,4471,51468.902218741845,42790.388888888054,41002.33896110676,32911.6666666666,12916,0,640595
"Manchester-Nashua, NH",0.019851717279603515,7955,31700,2157,71468.97149255997,63063.62962962965,53689.17290464622,46370.00000000005,7955,0,400721
"Ocean City, NJ",0.019534262067547423,1900,36140,817,62489.45973789333,50466.000000000065,45110.06300371435,33043.451612903234,1900,0,97265
"Asheville, NC",0.01902282645024926,8082,11700,2918,48769.154487464766,41566,38437.559649903575,30726.43749999998,8082,0,424858
"Eau Claire, WI",0.018771214575150016,3025,20740,1084,56912.4042374239,49978.46666666774,44963.00340435758,38567.45454545455,3025,0,161151
"Atlantic City-Hammonton, NJ",0.018269962738891782,5016,12100,1890,61292.47476305929,50177,42744.16383807215,31753.76923076919,5016,0,274549
"Providence-Warwick, RI-MA",0.016578047189871395,26539,39300,10749,66398.58026748015,55404,50221.932486611084,40103.560439560446,26539,0,1600852
"Binghamton, NY",0.015938027609494487,4012,13780,1842,55525.09373438281,46368,44308.03863693153,35993.47826086949,4012,0,251725
"Utica-Rome, NY",0.015137092222032952,4532,46540,2560,56048.003803190855,48000,44989.30702992322,37486.9999999999,4532,0,299397
"Worcester, MA-CT",0.015035224323322209,13787,49340,6128,71438.04431024897,60801.47368421034,54731.27338296163,44664.76923076923,13787,0,916980
"Syracuse, NY",0.014893363337393238,9868,45060,5658,58758.58147689114,50000,46399.80942998485,37696,9868,0,662577
"Boston-Cambridge-Newton, MA-NH",0.012104159518425658,55103,14460,22505,74668.9750703172,61823,55175.056843983286,43295.470588235694,55103,0,4552402
"Sebastian-Vero Beach, FL",0.005759700930246037,795,42680,752,50062.82865634109,38524,37652.688175115734,26027.46913580247,2908,2113,138028
"Wichita Falls, TX",0.0057102824739270084,864,48660,1065,51768.68718886518,41814,41753.31199837448,32161.42857142857,3748,2884,151306
"Punta Gorda, FL",0.00560077010588956,896,39460,906,50923.505165879236,41814,38335.09085717252,30778.307692307633,3565,2669,159978
"Harrisonburg, VA",0.005158590730507554,646,25500,952,53658.03500744253,46380.52173913043,42138.1210099785,35711.00000000001,2450,1804,125228
"Bismarck, ND",0.004757009182944466,546,13900,838,67381.13263367841,58099.53191489365,55204.028635198025,45010.678571428616,2703,2157,114778
"San Angelo, TX",0.004247784445060497,475,41660,855,52961.26187154734,40767.05042016807,42311.353942302325,30268.41860465119,2721,2246,111823
"Olympia-Tumwater, WA",0.004229695874163574,1067,36500,1581,63492.87917185802,54745,47635.92877024627,41059.908256880735,6352,5285,252264
"Colorado Springs, CO",0.004061256511253645,2622,17820,3896,57917.73348468376,49761.76271186419,43501.67119652107,35368.999999999905,22028,19406,645613
"Sheboygan, WI",0.003688088167816669,426,43100,963,60070.4693671616,54359,48517.43030128298,43109.99999999998,2346,1920,115507
"Kankakee, IL",0.0036756604289151953,417,28100,1024,64229.51638342775,54359,50427.919582361435,41079.42105263124,2153,1736,113449
"Yuba City, CA",0.0036610502600484146,611,49700,1251,57076.439039649646,46581,42255.356064753265,32785.82352941177,4686,4075,166892
"Greenville, NC",0.0036039679330113947,606,24780,884,50681.17960570503,39956.14457831326,39925.7248231994,29382.022222222204,4791,4185,168148
"North Port-Sarasota-Bradenton, FL",0.003565524341396108,2504,35840,4596,58672.2051386026,47398,44670.24102546774,34470.59999999907,14651,12147,702281
"Michigan City-La Porte, IN",0.003561592220118959,397,33140,1040,57392.72880833804,48627.62499999999,47075.12116855779,38916.862068965514,2481,2084,111467
"Vallejo-Fairfield, CA",0.003539424789037702,1463,46700,2854,72217.87904337252,60758,52505.002642886095,41498.33333333333,10133,8670,413344
"St. George, UT",0.0034536437027115085,477,41100,589,57378.758902375885,50000,43961.180808836216,37324.581818181796,3752,3275,138115
"Spokane-Spokane Valley, WA",0.0034466881287268853,1819,44060,4207,55380.682192622706,47041,42881.21366016239,34997.77419354954,12513,10694,527753
"Tyler, TX",0.0034094051899253267,715,46340,1354,55268.13244516653,43289.68965517258,43797.72568643379,32980.95833333337,5008,4293,209714
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",0.0033924219981843373,1278,34820,2807,47246.9512102625,38000,35955.72999934046,28026.720720720714,10280,9002,376722
"Lubbock, TX",0.0033080586647409775,962,31180,1911,55689.410915126595,45031.56060606037,44113.95602734975,33500.99999999976,8704,7742,290805
"Burlington, NC",0.0030966512495781803,468,15500,1439,50825.774134381434,40646.34285714302,40231.39614448811,31854.292682926913,3815,3347,151131
"Corpus Christi, TX",0.0030781087613998624,1318,18580,3626,59846.212766524164,49458.88888888887,47969.265864930014,37410.23076923063,14265,12947,428185
"Midland, TX",0.003070494314291563,435,33260,921,80196.38460920233,64958.50000000006,66344.03162547719,51165.010638297885,4319,3884,141671
"Odessa, TX",0.002909647779479326,399,36220,1077,70171.98210588006,56707.26190476191,59092.04055479586,47852.05999999995,4218,3819,137130
"Raleigh, NC",0.002818246954860282,3186,39580,6004,60009.65349465745,49008.89041095898,46836.3155185418,36972.58695652176,24941,21755,1130490
"Prescott, AZ",0.0027057379651523696,571,39140,1077,51116.49635249489,42099.09677419352,38761.32550335571,31602.275362318822,4618,4047,211033
"Mansfield, OH",0.002699337216308496,336,31900,911,49841.60605747364,43592.810810810806,40029.146888567295,34462.16666666664,3119,2783,124475
"Houma-Thibodaux, LA",0.0026852020866758256,559,26380,1584,64376.60656861195,53971.57142857163,54395.943275871155,45896.57142857149,4185,3626,208178
"La Crosse-Onalaska, WI-MN",0.002670856245090338,357,29100,618,60534.23428434715,50690,48262.62258508284,39185.0625,2514,2157,133665
"Auburn-Opelika, AL",0.0026667237088850385,374,12220,612,52336.49089620585,45824.19047619052,41265.350032708244,34152.47826086957,2613,2239,140247
"Boise City, ID",0.0026647809381391296,1643,14260,3339,54678.49582096176,46836.25688073345,42501.42142245797,34944.27586206894,15647,14004,616561
"Birmingham-Hoover, AL",0.0026612366328707935,3002,13820,6768,55117.21746396889,45621,44084.9355951806,35559.00000000004,21760,18758,1128047
"Reno, NV",0.0026162565200732457,1113,39900,3164,58868.88398685587,48501.85185185181,44680.48064482855,34828,12610,11497,425417
"Port St. Lucie, FL",0.002614906143968385,1109,38940,2309,54192.823013503425,43000,40151.267744452736,30628.51612903282,9062,7953,424107
"Goldsboro, NC",0.002585159390978854,317,24140,798,47700.335630498535,36818.00000000057,37660.00835777126,27139.315068493157,3367,3050,122623
"Yuma, AZ",0.00255937389847306,501,49740,1347,49839.97289394138,40552,38524.76695360757,30736.000000000004,5527,5026,195751
