name,stname,household_inc_everyone,household_inc_minus_housing_lowskill
Hamburg township,Michigan,107936,79457
Naperville city,Illinois,115616,74923
Parsippany-Troy Hills township,New Jersey,131722,74766
Prince William County,Virginia,101078,74731
Raritan township,New Jersey,131263,74207
Derry CDP,New Hampshire,111450,73435
Norwood CDP,Massachusetts,129730,73022
Hempstead village,New York,121593,72246
Coon Rapids city,Minnesota,90184,71946
Denton city,Texas,103100,71897
Plano city,Texas,115105,71668
Woodbury city,Minnesota,100557,71534
Vernon township,New Jersey,97899,71392
Joliet city,Illinois,95301,71056
Charles County,Maryland,91494,70953
Aurora city,Illinois,99381,70946
Middletown township,New Jersey,114930,70851
Bridgewater township,New Jersey,127156,70299
Delaware city,Ohio,108748,70210
Portage city,Indiana,87466,70144
Monroe city,Michigan,88453,70082
Farmington Hills city,Michigan,114843,70066
Brentwood CDP,New York,104920,70040
Eagan city,Minnesota,100352,69862
Warren city,Michigan,88064,69666
Bristol city,Connecticut,94062,69658
Naugatuck borough,Connecticut,106593,69496
Williamson County,Tennessee,117861,68951
Waukegan city,Illinois,120924,68810
Windsor town,Connecticut,95209,68777
Chelmsford town,Massachusetts,105258,68761
Savage city,Minnesota,100300,68626
Edison CDP,New Jersey,102190,68210
Fairfax County,Virginia,125367,67562
Overland Park city,Kansas,108791,67556
Fishers town,Indiana,111904,67391
Salem town,New Hampshire,89209,67286
Norwalk city,Connecticut,174112,67257
Mount Laurel township,New Jersey,96736,67097
Columbia CDP,Maryland,115301,66969
Franklin city,Massachusetts,101291,66767
Anne Arundel County,Maryland,94888,66749
New City CDP,New York,112084,66730
Round Rock city,Texas,90160,66425
St. Charles city,Missouri,87513,66150
Milford CDP,Massachusetts,120267,65944
Holland city,Michigan,84821,65846
Kokomo city,Indiana,78366,65784
Frederick County,Maryland,91789,65676
Danbury city,Connecticut,125363,65613
Stafford County,Virginia,93761,65489
Harford County,Maryland,91409,65426
East Haven CDP,Connecticut,98900,65230
Vernon town,Connecticut,97794,65208
Silver Spring CDP,Maryland,122107,64989
Phillipsburg town,New Jersey,88237,64924
Tredyffrin township,Pennsylvania,110065,64785
Hackensack city,New Jersey,114722,64716
Gwinnett County,Georgia,92972,64551
Plymouth town,Massachusetts,97778,64540
Henry County,Georgia,83793,64463
Nashua city,New Hampshire,90365,64437
Merrimack town,New Hampshire,96247,64219
Toms River CDP,New Jersey,86040,64211
New York city,New York,96463,64205
Meriden city,Connecticut,91432,64186
Bensalem township,Pennsylvania,98373,64094
Trenton city,New Jersey,109269,63966
Shrewsbury town,Massachusetts,93767,63908
Elk River city,Minnesota,79226,63880
Cobb County,Georgia,104126,63774
Mason city,Ohio,90441,63701
Fort Bend County,Texas,103281,63670
Fairfield town,Connecticut,123568,63622
Middletown city,Connecticut,96266,63611
Southbridge CDP,Massachusetts,84016,63602
Wakefield CDP,Massachusetts,106726,63594
Concord city,California,107670,63560
St. Mary's County,Maryland,88041,63522
West Hartford CDP,Connecticut,122549,63509
Brunswick city,Ohio,87144,63372
Loudoun County,Virginia,99639,63306
Madison city,Wisconsin,88106,63286
Stamford city,Connecticut,113807,63236
Abington township,Pennsylvania,105750,63225
Washington township,New Jersey,85846,63188
New Castle County,Delaware,93433,63072
Newington CDP,Connecticut,105948,62984
Prince George's County,Maryland,87563,62847
Newburgh city,New York,86217,62814
Hanover County,Virginia,88534,62767
Torrington city,Connecticut,92590,62693
Woburn city,Massachusetts,109670,62640
Washington township,Indiana,82614,62623
Braintree CDP,Massachusetts,98289,62400
Carroll County,Maryland,86717,62328
Greenwood city,Indiana,84492,62121
Haverhill city,Massachusetts,106505,62034
Marlborough city,Massachusetts,101606,62017
Port Huron city,Michigan,80314,61945
San Jose city,California,121189,61608
NA,Washington,96571,61512
Easton town,Massachusetts,91700,61397
Vallejo city,California,84510,61348
Chesterfield County,Virginia,92444,61324
Elizabeth city,New Jersey,101147,61324
Appleton city,Wisconsin,77359,61314
Norwich city,Connecticut,84976,61188
Coweta County,Georgia,90976,61169
Ellis County,Texas,74368,61132
Taunton city,Massachusetts,86126,61106
Yonkers city,New York,123976,61075
Iowa City city,Iowa,86985,61072
Baltimore County,Maryland,91007,61030
Poughkeepsie city,New York,91094,60996
Mentor city,Ohio,86271,60978
Peabody city,Massachusetts,100129,60935
Johnson County,Texas,74641,60931
Cherokee County,Georgia,84927,60922
Ann Arbor city,Michigan,97438,60850
Rockford city,Illinois,78491,60775
Chesapeake city,Virginia,78081,60744
West Haven city,Connecticut,90526,60726
Layton city,Utah,84207,60703
Everett city,Washington,82554,60547
Waltham city,Massachusetts,112099,60404
Westborough town,Massachusetts,95991,60352
East Hartford CDP,Connecticut,79594,60312
Rockdale County,Georgia,79124,60257
Montgomery County,Texas,80590,60186
Boone County,Kentucky,81375,60180
Florissant city,Missouri,93346,60016
Fort Wayne city,Indiana,78835,60013
DeSoto County,Mississippi,72824,59872
Hamilton city,Ohio,84575,59842
Minneapolis city,Minnesota,95337,59818
Janesville city,Wisconsin,76773,59814
Brazoria County,Texas,76040,59793
Rock township,Missouri,71743,59727
Weymouth CDP,Massachusetts,103644,59697
Attleboro city,Massachusetts,82482,59653
Hamden town,Connecticut,95741,59602
Pekin city,Illinois,76515,59496
Camden city,New Jersey,88890,59361
Kenosha city,Wisconsin,78576,59291
Leominster city,Massachusetts,78546,59217
Acton town,Massachusetts,150951,59157
Clay County,Florida,75743,59094
Union township,Ohio,77886,59092
Jackson city,Michigan,75895,59028
Lansing city,Michigan,80748,58990
Defiance city,Ohio,70889,58978
Seminole County,Florida,88158,58949
Gary city,Indiana,74912,58947
Murfreesboro city,Tennessee,75039,58902
Grand Rapids city,Michigan,80809,58843
Santa Ana city,California,99970,58809
Ogden city,Utah,76147,58789
Flint city,Michigan,76490,58754
Racine city,Wisconsin,77857,58679
Paulding County,Georgia,71108,58673
Green Bay city,Wisconsin,81010,58664
Concord city,New Hampshire,79491,58648
Provo city,Utah,81022,58586
Adrian city,Michigan,71281,58507
Spotsylvania County,Virginia,78394,58465
Roseville city,California,88193,58433
Willimantic CDP,Connecticut,75210,58368
Rochester city,Minnesota,90495,58338
Sheboygan city,Wisconsin,75584,58259
Rochester city,New York,84510,58055
St. Paul city,Minnesota,86454,58025
Lancaster city,Ohio,80141,57997
Saginaw city,Michigan,71114,57923
New Albany city,Indiana,76234,57839
Anderson city,Indiana,75219,57749
NA,Missouri,70030,57700
Covington city,Kentucky,81137,57611
Lorain city,Ohio,75671,57576
Holland city,Michigan,73724,57563
Milwaukee city,Wisconsin,84702,57557
Clayton County,Georgia,69892,57530
Ludlow town,Massachusetts,88879,57465
Paterson city,New Jersey,88622,57397
Upper Darby township,Pennsylvania,88197,57309
Shelby County,Alabama,91567,57258
Henrico County,Virginia,87475,57214
Detroit city,Michigan,75731,57188
Fort Worth city,Texas,82144,57187
New Britain city,Connecticut,78382,57074
Huntington city,Indiana,69429,56900
Union County,North Carolina,76817,56852
Sandusky city,Ohio,70426,56850
Denver city,Colorado,89006,56837
Ottawa city,Illinois,69402,56831
Rock Springs city,Wyoming,73679,56807
Needham CDP,Massachusetts,163973,56786
Salt Lake City city,Utah,82510,56769
Rochester city,New Hampshire,78035,56744
Newport city,Kentucky,74546,56647
Malden city,Massachusetts,83288,56640
Galveston city,Texas,78357,56635
Granite City city,Illinois,73349,56503
St. Johns County,Florida,85403,56360
Kitsap County,Washington,77484,56352
Peoria city,Illinois,76312,56285
Woonsocket city,Rhode Island,76815,56194
Roanoke County,Virginia,77736,56130
Las Vegas city,Nevada,75038,56122
Kansas City city,Missouri,75163,56053
Washington city,Missouri,67749,56028
Springfield city,Ohio,72107,56016
Elkhart city,Indiana,71306,56005
Freeport city,Illinois,70923,55970
Michigan City city,Indiana,69183,55929
Logansport city,Indiana,64798,55908
Walton County,Georgia,70253,55896
Wichita city,Kansas,73396,55685
Oldham County,Kentucky,74949,55665
Cedar Rapids city,Iowa,75559,55663
Troy city,New York,74105,55603
Cecil County,Maryland,73099,55575
Faribault city,Minnesota,72900,55560
Newark city,Ohio,73495,55463
Des Moines city,Iowa,79374,55380
El Dorado County,California,88501,55374
DeKalb city,Illinois,77600,55361
Clifton Park town,New York,81901,55311
Toledo city,Ohio,73937,55281
Vineland city,New Jersey,70862,55253
