migpuma_name,net migration,median_real_wage,n_out,n_in,top_place_population,proportion_in_named_place
Houston City,5603,25338.857142857145,107138,112741,1855853,0.45348114666512235
Maricopa County,4648,28033.45081967213,95644,100292,2347175,0.6149077955954717
Tarrant County,4648,29830.08510638296,46211,50859,1232610,0.6813636449066187
Clark County,4577,28063,69415,73992,1682013,0.8620097997764532
Denver City,4394,32123.976470588233,72326,76720,626647,0.1655965534399932
Denton County,3839,36382.20000000009,14858,18697,662614,1
San Antonio City,3647,25872.96202531654,40964,44611,1098896,0.640840507752338
Broward County,3454,23201.822916666646,41060,44514,1748066,1
Charlotte City,3415,23021.516129032254,21117,24532,569337,0.6190948948922825
Sacramento County,2984,24588.373626373632,33660,36644,1418788,1
El Paso County,2622,28078.55670103092,19406,22028,534065,0.8272215708171924
Orange County,2587,23630.870370370438,28883,31470,1145956,1
Pinellas County,2398,24599.749999999956,20356,22754,916542,1
Columbus,2388,26207.71014492757,28018,30406,719357,0.6183155781175059
Riverside County,2357,28971.75342465753,39862,42219,2189641,1
Palm Beach County,2324,24038.50000000001,26506,28830,1320134,1
Capital Area COG,2249,33240.15789473694,8801,11050,322567,0.7631488671071901
Atlanta Regional Commission,2227,25753.454545454566,15953,18180,688078,1
Pierce County,2084,31039.799999999996,19487,21571,795225,1
Duval County,2039,21953.026548672548,23488,25527,864263,1
Spokane County,1972,28712.121212121223,9021,10993,471221,1
Contra Costa County,1890,38516.83783783787,14606,16496,1049025,1
Hillsborough County,1832,25714.45544554406,31956,33788,1229226,1
Manatee County,1821,28718.29032258063,6107,7928,322833,1
Snohomish County,1648,38571.39999999987,16098,17746,713335,1
Ada County,1643,26296.05309734513,14004,15647,313009,0.4872842700442435
Prince George's County,1627,33656.9090909091,18377,20004,863420,1
Tulsa County,1614,27001.92857142857,22878,24492,505560,0.5510665223490633
Montgomery County,1550,30783,7357,8907,799874,1
Outer Manchester City,1549,35753.5,17610,19159,303394,0.30645084720082827
Lee County,1537,25077.13513513513,11347,12884,618754,1
Middlesex County,1518,32636.399999999972,57958,59476,952794,0.1749691855434289
San Bernardino County,1476,28519.909090909092,37192,38668,2035210,1
Atlanta Regional Commission,1470,20311.125,8274,9744,259424,1
Solano County,1463,40188.72340425531,8670,10133,413344,1
Austin City,1450,27373.464285714283,24688,26138,810975,0.7917621008605187
Des Moines City,1436,32618.699999999997,14346,15782,193211,0.30725474293529254
Oklahoma County,1402,25217.261904761905,21129,22531,718633,1
Kansas City,1335,35150.46464646464,6361,7696,106591,0.342448941563511
Albuquerque City,1303,20402.468750000025,14516,15819,638160,0.863389944705486
Horry County,1207,26007.514285714282,6615,7822,269291,1
Wake County,1203,30452.6,19026,20229,642389,0.7129789021668315
Kern County,1178,28037.333333333336,18728,19906,839631,1
Kent County,1115,22340.999999999975,12303,13418,602622,1
Washoe County,1113,26480.44262295082,11497,12610,421407,1
Galveston County,1100,28000.58620689657,7044,8144,291309,1
Thurston County,1067,35358.947368421046,5285,6352,252264,1
Coastal Regional Commission,1060,26937.52941176471,6265,7325,265128,1
San Joaquin County,1046,30520.021739130436,13212,14258,685306,1
Stanislaus County,1042,26260.66666666666,10355,11397,514453,1
Cass County,1034,34486.81395348835,3797,4831,149778,1
Texoma COG,995,30639.05844155844,4481,5476,193229,1
Volusia County,993,23035.76470588235,8941,9934,487675,0.8261631167106281
Newport News City,988,24542.846153846156,5084,6072,180719,1
Durham County,975,25904.222222222226,6551,7526,267587,1
Houston-Galveston Area Council,972,44256.229357798155,4841,5813,313166,1
South Plains Association of Governments,962,21371.55555555555,7742,8704,278831,1
Charleston,905,28348.223880597012,15467,16372,330048,0.4966062650558902
Washington County,905,31890.964285714297,11032,11937,529710,1
Charlotte County,896,21341.571428571428,2669,3565,159978,1
Toledo City,888,23717.983193277316,15129,16017,280271,0.43024028712261814
Clay County,886,27896.499999999996,4238,5124,190865,1
Rensselaer County,882,41116.07692307689,2760,3642,159429,1
Panhandle Regional Planning Commission,880,46146.230769230766,2614,3494,120725,1
Westmoreland County,875,28606.840000000004,4114,4989,365169,1
North Texas Regional Planning Commission,864,21773.600000000002,2884,3748,131500,1
Dallas County,858,23990.169811320753,61977,62835,1148731,0.48507752289878253
Hawkins & Sullivan,857,19661.79661016949,3587,4444,107304,0.5022278803309994
Montgomery County,856,20674.26865671642,13696,14552,535153,1
"Coffee, Franklin, Lincoln & Moore Counties",834,25632.553571428576,2334,3168,NA,NA
Nashville-Davidson,827,22114.685714285715,15871,16698,626681,1
Lake,820,20764.984615384616,6337,7157,315908,0.46449886414597746
Westchester County,813,32934.210526315794,10407,11220,946520,0.902459232873421
Bluegrass Area Development District,803,26232.897959183672,7655,8458,295803,1
Weber County,801,28436.156249999985,4534,5335,231236,1
Johnson County,799,31177.424657534248,2589,3388,139654,1
Indian River County,795,27121.86956521738,2113,2908,138028,1
Benton County,791,31479.65217391305,4112,4903,221339,1
Johnson County,791,31760.263157894715,10363,11154,544179,1
Central Rhode Island,777,35956.968,2573,3350,166158,1
West North Dakota,763,42893.8983050847,5600,6363,174685,1
New Castle County,758,25637.607594936708,8842,9600,538479,1
Marion County,754,21758.499999999996,5307,6061,331298,1
Davidson County,753,24787.076923076922,3132,3885,162878,1
Rutherford County,743,32111.255813953485,5952,6695,262604,1
Northern Kentucky Area Development District,736,22411.27419354837,2535,3271,118811,1
South Region,735,22592.591836734693,6160,6895,187105,1
Washtenaw County,735,23386.407407407412,4770,5505,344791,1
Atlanta & Northeast Georgia Regional Commissions,734,25161.55319148936,3148,3882,185173,1
Martin County,731,18831.02564102564,2312,3043,146318,1
"Dodge, Cass, Saunders & Washington Counties",728,29287.304,1828,2556,102946,1
Allegheny County,726,25905.963636363642,18809,19535,914241,0.7473270075236155
Atlanta Regional Commission,718,32398.780269058298,3946,4664,203922,1
Dane County,715,29268.208333333332,9320,10035,376244,0.7708764877385145
East Texas COG,715,25329.296296296296,4293,5008,209714,1
"Tipton, Fayette & Lauderdale Counties",714,21465.307692307695,1879,2593,127309,1
Chesterfield County,709,34373.086956521736,5275,5984,316236,1
Coastal Bend COG,697,28591.4545454545,10529,11226,340223,1
York County,691,26605.75471698113,3509,4200,226073,1
George Washington Regional Commission,690,36739.4358974359,3196,3886,349052,1
Sarasota County,683,25755.866666666665,6040,6723,379448,1
