name,net migration,median_real_wage,n_in,n_out
"denver-aurora-lakewood, co",64633,40607,64633,0
"boston-cambridge-newton, ma-nh",55103,43295.470588235694,55103,0
"charlotte-concord-gastonia, nc-sc",48794,34027.631578947476,48794,0
"providence-warwick, ri-ma",26539,40103.560439560446,26539,0
"worcester, ma-ct",13787,44664.76923076923,13787,0
"winston-salem, nc",12916,32911.6666666666,12916,0
"dallas-fort worth-arlington, tx",10185,37276.2608695649,159770,149585
"syracuse, ny",9868,37696,9868,0
"huntsville, al",9100,33907.8064516129,9100,0
"asheville, nc",8082,30726.43749999998,8082,0
"manchester-nashua, nh",7955,46370.00000000005,7955,0
"houston-the woodlands-sugar land, tx",7862,36626.2317073138,145882,138020
"atlantic city-hammonton, nj",5016,31753.76923076919,5016,0
"las vegas-henderson-paradise, nv",4577,34874.20930232573,73992,69415
"utica-rome, ny",4532,37486.9999999999,4532,0
"tampa-st. petersburg-clearwater, fl",4428,32603.85714285539,66827,62399
"san antonio-new braunfels, tx",4368,34943.249999998574,50922,46554
"austin-round rock, tx",4340,37045.28571428562,42925,38585
"seattle-tacoma-bellevue, wa",4145,43432.10666666571,79595,75450
"pueblo, co",4112,31273.910256410232,4112,0
"binghamton, ny",4012,35993.47826086949,4012,0
"riverside-san bernardino-ontario, ca",3833,35770.30487804951,80887,77054
"atlanta-sandy springs-roswell, ga",3709,34132,114330,110621
"coeur d'alene, id",3629,31849.142857142833,3629,0
"grand junction, co",3383,34477.203296703294,3383,0
"raleigh, nc",3186,36972.58695652176,24941,21755
"eau claire, wi",3025,38567.45454545455,3025,0
"birmingham-hoover, al",3002,35559.00000000004,21760,18758
"columbus, oh",2802,36406.60606060811,41321,38519
"philadelphia-camden-wilmington, pa-nj-de-md",2787,39892,77146,74359
"colorado springs, co",2622,35368.999999999905,22028,19406
"north port-sarasota-bradenton, fl",2504,34470.59999999907,14651,12147
"phoenix-mesa-scottsdale, az",2423,36298.7407407411,107869,105446
"sacramento--roseville--arden-arcade, ca",2054,35700,48419,46365
"richmond, va",2038,38703.77777777764,25498,23460
"cincinnati, oh-ky-in",2016,38558.019999999415,44431,42415
"kansas city, mo-ks",2000,38760.7999999996,46211,44211
"portland-vancouver-hillsboro, or-wa",1948,38008.01657458546,50508,48560
