state,migpuma_name,net migration,raw net migration,migpuma1,n_obs_for_median_real_wage,mean_nominal_wage,median_nominal_wage,median_real_wage,mean_real_wage,migpuma_population,top_place_population,proportion_in_named_place,n_out,n_in,n_obs_n_in,net migration (not foreign)
Texas,Capital Area COG,0.007165619470624346,3175,5200,2800,110951.13560386385,98906.00000000009,78115.99999999999,90455.03254344975,443088,338660,0.7643176976131152,6617,9792,462,0.006660076553641714
Oregon,Deschutes County,0.006102051551814834,986,400,528,92089.73217738817,73999.99999999978,56496.85714285712,72344.99916204718,161585,161585,1,2246,3232,102,0.006102051551814834
Texas,Capital Area COG,0.006016150122731757,1049,5400,817,99498.26753791148,82714.2857142857,63673.95,79539.6422142769,174364,174364,1,1740,2789,120,0.005608955977151247
Indiana,Hamilton County,0.0056052015370733205,1994,1800,2222,142409.7011747307,109222,91320.8,121968.68724266003,355741,239918,0.6744176240579522,6575,8569,283,0.005374696759721258
Tennessee,Williamson County,0.005552690476309689,1109,2600,1691,150314.45391436055,117936.52272727263,97286.66666666666,125977.70152409202,199723,199723,1,4058,5167,216,0.004596365966864107
Tennessee,Sumner County,0.005540714356386663,896,500,710,101353.19012920673,85944.99999999959,68412.72727272728,83285.4873046875,161712,161712,1,1347,2243,108,0.0049099633917087165
South Carolina,York County,0.005157910771105545,1219,500,1035,111674.72722295726,93698.36363636355,77257.13114754087,94604.70505041289,236336,236336,1,2567,3786,137,0.004849028501794056
Texas,Denton County,0.004994824193979612,3643,2000,5385,123555.90274787354,104536,84023.70731707287,101330.05998848836,729355,729355,1,12850,16493,828,0.004187261347354854
Virginia,Richmond City,0.0049233881580645,954,51235,1473,94055.25826052422,70000,53385.909090909096,76105.00726767276,193769,193769,1,4845,5799,311,0.0045724548302360024
North Carolina,Charlotte City,0.004684212531591447,4426,3100,7043,116939.35675590574,89702.84615384684,72542.82926829293,98033.21759448106,944876,574532,0.6080501568459776,23600,28026,1271,0.0037899152904719772
Georgia,Atlanta Regional Commission,0.004543827008811036,3236,3000,4833,116787.25594235078,93037,75155.21276595737,97535.33428820649,712175,712175,1,13129,16365,648,0.0034780777196616
Washington,King County,0.004478163486137005,9113,11600,14333,134625.13445592672,110000,86374.99999999648,109382.15034935283,2034986,1385717,0.6809466993876125,52897,62010,2408,0.002223111117226359
Texas,Houston-Galveston Area Council,0.004454118879180229,2169,4500,1605,148943.64573219843,114392.38095238092,93657.99999999991,125806.47491129155,486965,486965,1,5428,7597,277,0.0031172671547236453
California,Marin County,0.0043492408669910075,1096,4100,1805,163103.60027206087,120000,84600.6792452831,124883.46333476082,251998,251998,1,4961,6057,250,0.0030357383788760226
North Carolina,Wake County,0.004257228408249406,4099,1200,7244,116910.93604288093,96888.08695652246,78465.00000000074,97909.48980016653,962833,698011,0.7249554180216091,20272,24371,1037,0.003287174411346516
Colorado,"La Plata, Montezuma, Gunnison, Archuleta, Dolores, Hinsdale & San Juan Counties",0.004196970132520769,438,900,711,75681.80432329196,62317.294117647056,47668.733333333315,59529.14384929247,104361,104361,1,1579,2017,99,0.004196970132520769
Virginia,Alexandria City,0.0041789930206508315,582,51255,1970,134563.55270571192,109763,84306.45283018873,108048.1556086175,139268,139268,1,8621,9203,438,-4.8826722578050954e-4
California,Santa Clara County,0.004111783100957797,7450,8500,13469,176747.05018361285,148441,114205.46808510623,142252.23180829416,1811866,1811866,1,38848,46298,2144,7.412247925619223e-4
Virginia,Loudoun County,0.004085649443244189,1424,10700,3319,165089.7922274727,147000.11904761905,116225.99999999882,133470.2075444028,348537,348537,1,6804,8228,388,0.003239254368976608
