MSA Title,net migration,raw net migration,met2013,n_obs_for_median_real_wage,median_real_wage,n_in,n_out,MSA 2010 Population
"Coeur d'Alene, ID",0.026203301226045892,3629,17660,754,31849.142857142833,3629,0,138494
"Pueblo, CO",0.025851392215662978,4112,39380,1157,31273.910256410232,4112,0,159063
"Denver-Aurora-Lakewood, CO",0.025411227600588483,64633,19740,16501,40607,64633,0,2543482
"Grand Junction, CO",0.023057053086428168,3383,24300,722,34477.203296703294,3383,0,146723
"Charlotte-Concord-Gastonia, NC-SC",0.022008902071797537,48794,16740,16300,34027.631578947476,48794,0,2217012
"Huntsville, AL",0.02179155301932743,9100,26620,2036,33907.8064516129,9100,0,417593
"Winston-Salem, NC",0.02016250517097386,12916,49180,4471,32911.6666666666,12916,0,640595
"Manchester-Nashua, NH",0.019851717279603515,7955,31700,2157,46370.00000000005,7955,0,400721
"Ocean City, NJ",0.019534262067547423,1900,36140,817,33043.451612903234,1900,0,97265
"Asheville, NC",0.01902282645024926,8082,11700,2918,30726.43749999998,8082,0,424858
"Eau Claire, WI",0.018771214575150016,3025,20740,1084,38567.45454545455,3025,0,161151
"Atlantic City-Hammonton, NJ",0.018269962738891782,5016,12100,1890,31753.76923076919,5016,0,274549
"Providence-Warwick, RI-MA",0.016578047189871395,26539,39300,10749,40103.560439560446,26539,0,1600852
"Binghamton, NY",0.015938027609494487,4012,13780,1842,35993.47826086949,4012,0,251725
"Utica-Rome, NY",0.015137092222032952,4532,46540,2560,37486.9999999999,4532,0,299397
"Worcester, MA-CT",0.015035224323322209,13787,49340,6128,44664.76923076923,13787,0,916980
"Syracuse, NY",0.014893363337393238,9868,45060,5658,37696,9868,0,662577
"Boston-Cambridge-Newton, MA-NH",0.012104159518425658,55103,14460,22505,43295.470588235694,55103,0,4552402
"Sebastian-Vero Beach, FL",0.005759700930246037,795,42680,752,26027.46913580247,2908,2113,138028
"Wichita Falls, TX",0.0057102824739270084,864,48660,1065,32161.42857142857,3748,2884,151306
"Punta Gorda, FL",0.00560077010588956,896,39460,906,30778.307692307633,3565,2669,159978
"Harrisonburg, VA",0.005158590730507554,646,25500,952,35711.00000000001,2450,1804,125228
"Bismarck, ND",0.004757009182944466,546,13900,838,45010.678571428616,2703,2157,114778
"San Angelo, TX",0.004247784445060497,475,41660,855,30268.41860465119,2721,2246,111823
"Olympia-Tumwater, WA",0.004229695874163574,1067,36500,1581,41059.908256880735,6352,5285,252264
"Colorado Springs, CO",0.004061256511253645,2622,17820,3896,35368.999999999905,22028,19406,645613
"Sheboygan, WI",0.003688088167816669,426,43100,963,43109.99999999998,2346,1920,115507
"Kankakee, IL",0.0036756604289151953,417,28100,1024,41079.42105263124,2153,1736,113449
"Yuba City, CA",0.0036610502600484146,611,49700,1251,32785.82352941177,4686,4075,166892
"Greenville, NC",0.0036039679330113947,606,24780,884,29382.022222222204,4791,4185,168148
"North Port-Sarasota-Bradenton, FL",0.003565524341396108,2504,35840,4596,34470.59999999907,14651,12147,702281
"Michigan City-La Porte, IN",0.003561592220118959,397,33140,1040,38916.862068965514,2481,2084,111467
"Vallejo-Fairfield, CA",0.003539424789037702,1463,46700,2854,41498.33333333333,10133,8670,413344
"St. George, UT",0.0034536437027115085,477,41100,589,37324.581818181796,3752,3275,138115
"Spokane-Spokane Valley, WA",0.0034466881287268853,1819,44060,4207,34997.77419354954,12513,10694,527753
"Tyler, TX",0.0034094051899253267,715,46340,1354,32980.95833333337,5008,4293,209714
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",0.0033924219981843373,1278,34820,2807,28026.720720720714,10280,9002,376722
"Lubbock, TX",0.0033080586647409775,962,31180,1911,33500.99999999976,8704,7742,290805
