res_stname,res_state,res_puma,place_name,pop,real_wage_high_skill,real_wage_low_skill,nominal_wage_everyone,nominal_wage_high_skill,nominal_wage_low_skill,n_move_in_high_skill,n_move_in_low_skill,n_move_out_high_skill,n_move_out_low_skill,net_mig_low_skill,net_mig_high_skill
California,6,3700,Los Angeles County,2393352,92233.38242706131,41757.61192812313,83452.27211940092,120334.7004820296,60597.21287418403,124190,138414,125711,150579,-0.005082829437541991,-6.355103637074697e-4
Illinois,17,3400,Chicago City,1437698,100354.21956788932,45454.57558035867,89623.77816168369,123288.00059524414,61213.27764804718,93316,82546,97607,88734,-0.004304102808795727,-0.0029846323775925125
Massachusetts,25,390,Middlesex County,1294906,118749.62612279662,58268.18502963691,112421.62394719859,145525.83086386864,77381.56423316356,70977,57430,71902,57958,-4.077516051358168e-4,-7.143375658155882e-4
Texas,48,4600,Houston City,1223015,111465.96185886273,46394.586649076045,85885.61900537321,132029.89035834972,59487.68165459555,67651,109556,62844,107138,0.001977081229584265,0.003930450566836875
Arizona,4,100,Maricopa County,1037224,92640.78216592861,48385.89098411849,81465.33847470621,111842.75322106408,62522.413039793006,60342,98884,54468,95644,0.0031237225517342444,0.0056631932928663435
Colorado,8,190,Denver City,1010371,99780.0858249564,52638.12150713059,93562.81008201584,120942.24215650708,68574.04217210083,76988,75456,69276,72326,0.003097871969801192,0.007632839818244981
California,6,7300,San Diego County,800844,95329.2574660616,46302.702895514994,91830.44425115715,123891.57893470084,66575.59601924024,52765,52548,52414,58495,-0.007425915658979776,4.3828760657506333e-4
California,6,5900,Orange County,750286,110557.47760929119,55051.35475837219,107453.0268426474,142012.7121040244,77789.92267645188,49013,44983,48116,47052,-0.002757615096110017,0.0011955440991835114
Texas,48,2300,Dallas County,706139,100728.92214035068,41821.10777102454,78316.53984201801,122181.79748565653,54399.86291658447,46021,61605,43062,61977,-5.268084612236401e-4,0.004190393109571911
New York,36,4e3,NYC-Brooklyn Community District 18,656202,90689.96044864999,38629.2188925103,81549.0178216333,115069.77454945228,56176.08003196523,36179,22374,37861,27738,-0.00817431217826218,-0.002563235101386463
Washington,53,11600,King County,652961,112551.11750423272,57039.338910448496,110909.0490775704,138270.56997460366,75978.99037186225,57421,39328,52897,39865,-8.224074638454671e-4,0.006928438298765164
Florida,12,8690,Miami-Dade County,629873,84389.19597833355,35348.19276908565,71698.456505567,107100.94844583952,51374.0658719058,28050,40466,31295,46138,-0.009004989894788314,-0.00515183219474402
New York,36,3800,NYC-Manhattan Community District 8,560898,147423.66381185874,41298.691472827835,143337.81392759652,176269.56161718405,56333.5850676808,55319,9409,62215,14500,-0.009076516585903319,-0.012294570492317676
Nevada,32,400,Clark County,554370,82590.35540343066,46480.158714780104,72193.78897678535,100996.60653374263,61122.389053087136,23384,72596,21750,69415,0.005738044988004402,0.002947489943539513
New York,36,4100,NYC-Queens Community District 7,551883,82693.3086822811,45683.16238115625,80948.14242249157,104858.48279589062,65762.62830524487,21241,20992,23145,24394,-0.0061643500524567706,-0.0034500066137206618
Texas,48,2500,Tarrant County,529900,99588.6445759313,51784.25571820298,85782.05968411434,119988.11603637699,65715.39074317999,25767,49785,25087,46211,0.0067446688054349875,0.0012832609926401208
Georgia,13,1090,Atlanta Regional Commission,520677,102473.9237631908,38212.841427087376,92840.96884128267,124015.44442859248,51817.2911561135,39261,34237,39774,37332,-0.005944184206331372,-9.85255734361226e-4
Florida,12,1100,Broward County,495462,84428.03645449912,44801.15703644958,79788.83097784937,107550.85592332522,62116.04903051959,24263,43298,23646,41060,0.004516996258037953,0.0012453023642580057
California,6,8500,Santa Clara County,488890,145815.74259801133,60123.505995141866,140415.53704606878,180611.30398424607,84240.60762830121,40191,18366,38848,20366,-0.0040908997934095605,0.0027470392112745197
California,6,6500,Riverside County,471852,85541.74000381614,46379.81951613143,76626.6189917743,110462.4068542232,64756.990989751444,13942,41737,13059,39862,0.00397370361893136,0.001871349490942075
Texas,48,5900,San Antonio City,450642,86422.47042843146,44941.63062337161,73975.37936969925,104980.9966242095,57180.046699797356,23281,43742,23125,40964,0.006164538591609304,3.461727934813e-4
California,6,7100,San Bernardino County,428343,81411.21533245083,46546.431417694206,74344.06404421426,104637.66039620056,63560.27954166856,11922,37880,13310,37192,0.0016061894323007497,-0.0032403937965602334
California,6,100,Alameda County,423331,112386.13299807157,54173.76914181932,110681.47220366204,142459.18772156723,74724.66364622259,30134,18370,28200,20361,-0.004703175529313941,0.004568529117877028
Michigan,26,3200,Wayne County,419934,90225.93170238702,41227.85658271413,68993.10481749891,107028.65485480896,52483.57372793589,13243,36493,14677,38427,-0.00460548562393138,-0.0034148223292231636
Minnesota,27,1400,Hennepin County,381750,108790.44196641922,52315.732655416126,102436.61575130711,130246.68780068182,67463.99161017357,27367,21888,27926,22840,-0.0024937786509495745,-0.001464309102815979
Pennsylvania,42,3200,Philadelphia City,378282,80474.66821884782,38543.36850542963,67420.54575462347,98111.12909027278,50321.850786687246,22534,21219,24167,22861,-0.0043406770610285444,-0.0043168852866380105
