state,statename,id,ufips,name,type,local,pressure,countyleg,stateleg,localcourts,statecourts,commission,loczoning,council,cntyboard,cntyzoning,envboard,commission_norez,council_norez,cntyboard_norez,envboard_norez,publhlth_norez,dsgnrev_norez,sfulandsupply,mfulandsupply,sfuinfracost,mfuinfracost,sfudensrestr,mfudensrestr,sfuimpact,mfuimpact,sfubudget,mfubudget,sfucouncil,mfucouncil,sfucitizen,mfucitizen,sfuschool,mfuschool,sfulengthzoning,mfulengthzoning,sfulengthpermit,mfulengthpermit,sfulengthdvlp,mfulengthdvlp,sfupermitlimit,mfupermitlimit,sfuconstrlimit,mfuconstrlimit,mfudwelllimit,mfudwellunitlimit,minlotsize,minlotsize_lhalfacre,minlotsize_mhalfacre,minlotsize_oneacre,minlotsize_twoacres,affordable,sfusupply,mfusupply,commsupply,indsupply,lotdevcostincrease,sflotdevcostincrease,time_sfu,time_mfu,timechg_sfu,timechg_mfu,time1_l50sfu,time1_m50sfu,time1_mfu,time2_l50sfu,time2_m50sfu,time2_mfu,submitted,alloc_local,alloc_pressure,alloc_countyleg,alloc_sfubudget,alloc_mfubudget,alloc_sfucouncil,alloc_mfucouncil,alloc_sfucitizen,alloc_mfucitizen,alloc_sfuschool,alloc_mfuschool,alloc_LPPI,alloc_time_sfu,alloc_time_mfu,alloc_time1_l50sfu,alloc_time1_m50sfu,alloc_time1_mfu,alloc_time2_l50sfu,alloc_time2_m50sfu,alloc_time2_mfu,alloc_ADI,approved,officialname,execrating,judicialrating,town_meet,zonvote,zonvote_super,totinitiatives,msaname99,msa99,stateid,msastate,stacode,namene,LPPI,SPII,SCII,LZAI,LPAI,LAI,DRI,OSI,EI,SRI,ADI,WRLURI,weight,weight_metro,fips,county
California,CA,205568,49278,"City of Morgan Hill, CA",City,5,3,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,3,3,1,2,3,3,3,3,1,1,4,4,1,1,1,1,1,1,2,2,0,0,1,1,0,0,1,1,0,0,0,1,1,3,1,2,100,100,3,3,0,0,4.5,4.5,4.5,9.5,9.5,4.5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,James Rowe,3,3,0,0,0,0,"San Jose, CA PMSA",7400,5,7400,5,,-0.3095299005508423,1.019895076751709,3,1,1,0,0,1,1,2,5.111111164093018,0.32541683316230774,5.182236671447754,6.287507057189941,6085,"Santa Clara, CA"
California,CA,205579,69084,"Santa Clara City, CA",City,5,3,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,5,4,2,2,4,3,2,2,1,1,2,2,2,4,1,1,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,5,3,2,3,70,90,3,6,1,1,4.5,9.5,9.5,4.5,9.5,9.5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,Geoffrey Goodfellow,3,3,0,0,0,0,"San Jose, CA PMSA",7400,5,7400,5,,-0.5898844003677368,1.019895076751709,3,2,1,0,0,1,1,0,6.722222328186035,0.04782785847783089,2.14361310005188,3.085890293121338,6085,"Santa Clara, CA"
California,CA,205608,68e3,"San Jose City, CA",City,5,3,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,5,5,4,4,2,2,2,4,3,2,1,1,3,3,3,3,3,4,3,3,3,3,0,0,0,0,0,0,0,NA,NA,NA,NA,1,5,3,4,2,NA,100,7,3,0,0,9.5,9.5,9.5,4.5,4.5,4.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Joseph Horwedel,3,3,0,0,0,0,"San Jose, CA PMSA",7400,5,7400,5,,-0.23944126069545746,1.019895076751709,3,1,1,0,0,1,1,0,6.333333492279053,0.16194157302379608,1.4363923072814941,2.1666572093963623,6085,"Santa Clara, CA"
California,CA,205534,10345,"Campbell,CA",City,5,3,1,3,1,1,1,0,1,0,0,0,1,1,0,0,0,0,5,5,1,2,3,4,2,3,1,1,2,3,2,3,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,NA,NA,NA,NA,1,5,4,3,2,50,90,3,5,1,1,9.5,9.5,9.5,4.5,4.5,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Geoff Brady,3,3,0,0,0,0,"San Jose, CA PMSA",7400,5,7400,5,,-0.5898844003677368,1.019895076751709,3,2,2,0,0,1,1,0,6,0.17133356630802155,2.52734112739563,3.5962939262390137,6085,"Santa Clara, CA"
Washington,WA,329790,61115,"Sammamish City, WA",City,4,4,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,5,5,5,5,3,3,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,0,1,1,1,5,NA,NA,4,5.3287277548600835,0,0,2.805464029312134,3.5061542987823486,5.196133136749268,18.5,18.5,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,Emily Arteche,3,2,0,0,0,0,"Seattle-Bellevue-Everett, WA PMSA",7600,48,7600,48,,0.5315337181091309,2.4159226417541504,2,0,0,0,0,1,1,5,9.000093460083008,1.7673646211624146,5.994143009185791,5.5211567878723145,53033,"King, WA"
Washington,WA,168856,45005,"City of Mercer Island, WA",City,4,5,3,4,2,3,1,0,1,0,0,0,0,0,0,0,0,0,5,5,3,3,4,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,NA,NA,NA,NA,0,4,3,3,3,50,70,4,5,0,0,9.5,13.175697326660156,18.5,9.5,9.5,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,Richard Hart,3,2,0,0,0,1,"Seattle-Bellevue-Everett, WA PMSA",7600,48,7600,48,,1.503512978553772,2.4159226417541504,2,2,0,0,0,0,1,0,10.241744041442871,0.9161242842674255,2.8794331550598145,3.389758348464966,53033,"King, WA"
Washington,WA,168895,79590,"Woodinville City, WA",City,2,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,30,50,3,4,0,0,4.5,4.5,9.5,9.5,9.5,9.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ray Sturtz,3,2,0,0,0,0,"Seattle-Bellevue-Everett, WA PMSA",7600,48,7600,48,,-1.5711252689361572,2.4159226417541504,2,0,0,0,0,1,1,0,6.388888835906982,0.1111028641462326,6.235114097595215,6.019518852233887,53033,"King, WA"
Washington,WA,252260,63960,"City of Shoreline, WA",City,5,5,2,2,2,3,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,5,5,5,5,4,4,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,5,5,5,5,NA,NA,4,4,0,0,2.337946653366089,4.449217796325684,2.9553275108337402,3.268115520477295,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,Timothy Stewart,3,2,0,0,0,0,"Seattle-Bellevue-Everett, WA PMSA",7600,48,7600,48,,-0.3095299005508423,2.4159226417541504,2,2,NA,0,0,0,1,0,3.778956413269043,NA,6.525757312774658,6.298968315124512,53033,"King, WA"
Washington,WA,169e3,8850,"Burien City, WA",City,3,2,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,2,2,2,2,NA,NA,2,3,0,0,6.9061598777771,8.217606544494629,8.813971519470215,7.676666259765625,9.5,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,Scott Greenberg,3,2,0,0,0,0,"Seattle-Bellevue-Everett, WA PMSA",7600,48,7600,48,,-1.43094801902771,2.4159226417541504,2,1,0,0,0,0,0,0,6.457156181335449,-0.3402366042137146,7.169270992279053,7.106161117553711,53033,"King, WA"
Washington,WA,206794,49415,"Normandy Park City, WA",City,5,3,1,3,2,2,1,0,1,0,0,0,1,0,0,0,1,0,5,5,2,2,4,5,2,2,1,1,4,4,4,5,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,1,0,0,0,5,4,3,NA,30,90,1,2,0,0,9.5,10.130496978759766,9.5,4.5,9.5,9.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,Jennifer Haro,3,2,0,0,0,0,"Seattle-Bellevue-Everett, WA PMSA",7600,48,7600,48,,0.040913280099630356,2.4159226417541504,2,2,2,0,0,0,1,0,6.347833156585693,0.48367032408714294,6.2401838302612305,6.136752128601074,53033,"King, WA"
