statefip,sea,skill,hhinc,cost,costShared,incShared,stay,inMig,outMig,year,index,basePop,basePopTot,netMig,lr,lincShared
Alabama,001,0,6808.7656,1722.4409,109.52269,8147.7148,86504,3137,6545,1940,16.39529854910714,93049,106017,-.032145787,8.5343103,9.0054932
Alabama,001,1,17062.211,2498.1885,109.52269,8147.7148,10068,2300,2900,1940,16.39529854910714,12968,106017,-.0056594699,9.5863094,9.0054932
Alabama,002,1,12133.267,1762.4946,74.722343,5000.3276,8070,1000,1800,1940,16.39529854910714,9870,81899,-.0097681293,9.246747,8.5172586
Alabama,002,0,3975.7954,1175.3859,74.722343,5000.3276,66357,4848,5672,1940,16.39529854910714,72029,81899,-.010061173,7.937521,8.5172586
Alabama,003,1,16501.236,4358.752,233.62633,11298.389,15720,4062,3187,1940,16.39529854910714,18907,142484,.0061410405,9.4044657,9.3324156
Alabama,003,0,9978.707,3753.3608,233.62633,11298.389,114530,9623,9047,1940,16.39529854910714,123577,142484,.0040425593,8.7363844,9.3324156
Alabama,004,1,28664.854,4234.4316,159.02307,19992.172,44412,9327,5658,1940,16.39529854910714,50070,216098,.016978407,10.103584,9.9030962
Alabama,004,0,16875.539,2073.3591,159.02307,19992.172,156325,13025,9703,1940,16.39529854910714,166028,216098,.015372655,9.6025295,9.9030962
Alabama,005,0,7751.6538,1215.222,78.087135,8713.9785,60382,3294,3291,1940,16.39529854910714,63673,72375,.000041450778,8.7851467,9.0726833
Alabama,005,1,16195.667,2026.3107,78.087135,8713.9785,6924,1800,1778,1940,16.39529854910714,8702,72375,.00030397237,9.5588369,9.0726833
Alabama,007,1,16630.227,2724.1873,93.959251,6278.9556,14609,3187,2430,1940,16.39529854910714,17039,135520,.0055858912,9.5400782,8.7449589
Alabama,007,0,4852.6147,1405.0961,93.959251,6278.9556,109864,5557,8617,1940,16.39529854910714,118481,135520,-.022579692,8.1454096,8.7449589
Alabama,008,0,2507.3298,694.37708,53.905254,3915.3882,79524,2400,6674,1940,16.39529854910714,86198,98585,-.04335345,7.5027122,8.2726698
Alabama,008,1,12833.42,2507.9219,53.905254,3915.3882,11100,1600,1287,1940,16.39529854910714,12387,98585,.0031749252,9.2423716,8.2726698
Alabama,009,0,10774.166,2337.6741,182.74182,16527.689,33556,3474,3504,1940,16.39529854910714,37060,50047,-.00059943652,9.0403223,9.7127924
Alabama,009,1,34065.953,5992.2334,182.74182,16527.689,10387,2558,2600,1940,16.39529854910714,12987,50047,-.00083921116,10.242589,9.7127924
Alabama,010,0,4381.9614,953.93854,63.586502,5143.8174,125791,3510,10671,1940,16.39529854910714,136462,153076,-.046780683,8.139739,8.5455503
Alabama,010,1,11070.792,1911.2347,63.586502,5143.8174,13764,2300,2850,1940,16.39529854910714,16614,153076,-.0035929864,9.1225529,8.5455503
Alabama,011,0,4183.021,1416.3502,88.00528,5235.0356,38538,2976,3965,1940,16.39529854910714,42503,48478,-.020401007,7.9253998,8.5631285
Alabama,011,1,10495.884,1864.2418,88.00528,5235.0356,5175,1300,800,1940,16.39529854910714,5975,48478,.010313957,9.0631905,8.5631285
Alabama,013,0,12207.155,1756.058,135.01099,16286.934,48467,3844,2726,1940,16.39529854910714,51193,68020,.016436342,9.2544622,9.6981182
Alabama,013,1,26145.279,3642.5898,135.01099,16286.934,14427,2056,2400,1940,16.39529854910714,16827,68020,-.0050573363,10.02139,9.6981182
Arizona,014,1,19370.717,2206.4792,77.477303,11966.035,6600,2787,2887,1940,16.39529854910714,9487,39288,-.0025453065,9.7505836,9.3898277
Arizona,014,0,10138.767,1038.1066,77.477303,11966.035,25048,3543,4753,1940,16.39529854910714,29801,39288,-.030798208,9.1161022,9.3898277
Arizona,015,1,23969.838,5285.8511,181.34003,18269.68,19416,6350,3900,1940,16.39529854910714,23316,69909,.03504556,9.8354225,9.8129978
Arizona,015,0,14754.152,2046.0951,181.34003,18269.68,39858,13183,6735,1940,16.39529854910714,46593,69909,.092234187,9.4499912,9.8129978
Arizona,016,0,14700.64,1314.1439,93.340683,18466.258,9136,4396,2177,1940,16.39529854910714,11313,15213,.14586209,9.5020018,9.8237009
Arizona,016,1,19492.52,1848.1973,93.340683,18466.258,3000,1700,900,1940,16.39529854910714,3900,15213,.052586604,9.7781696,9.8237009
Arizona,017,1,24725.773,3892.7107,167.31151,17260.996,14700,5500,2263,1940,16.39529854910714,16963,52052,.062187813,9.9442968,9.7562046
Arizona,017,0,14015.075,2269.8433,167.31151,17260.996,30220,5352,4869,1940,16.39529854910714,35089,52052,.0092791822,9.3712025,9.7562046
Arkansas,018,0,3046.8801,1461.4418,99.10498,5137.2539,22986,3640,4188,1940,16.39529854910714,27174,34861,-.015719572,7.3686161,8.5442743
Arkansas,018,1,15069.868,2492.1716,99.10498,5137.2539,6687,1300,1000,1940,16.39529854910714,7687,34861,.008605605,9.4396801,8.5442743
Arkansas,019,0,3279.7944,987.23236,71.77005,3870.4988,44965,4684,6325,1940,16.39529854910714,51290,56990,-.028794525,7.7374253,8.2611389
Arkansas,019,1,10218.129,3723.4204,71.77005,3870.4988,4000,1000,1700,1940,16.39529854910714,5700,56990,-.012282857,8.7787428,8.2611389
Arkansas,020,0,6846.855,1579.0714,99.277748,9047.4951,63562,3561,7511,1940,16.39529854910714,71073,84682,-.046645097,8.5693645,9.1102428
Arkansas,020,1,16376.78,2043.0298,99.277748,9047.4951,12332,2500,1277,1940,16.39529854910714,13609,84682,.014442266,9.5703726,9.1102428
Arkansas,021,1,10725.418,2282.0205,379.29016,5016.7988,5278,700,2300,1940,16.39529854910714,7578,63908,-.025035989,9.0411396,8.5205469
Arkansas,021,0,4251.1855,6584.6509,379.29016,5016.7988,49302,3090,7028,1940,16.39529854910714,56330,63908,-.061619829,,8.5205469
Arkansas,022,1,33336.516,10098.285,359.70654,18859.186,18188,4800,3400,1940,16.39529854910714,21588,71100,.019690577,10.053555,9.8447552
Arkansas,022,0,12436.511,4438.856,359.70654,18859.186,43884,5896,5628,1940,16.39529854910714,49512,71100,.0037693391,8.9869032,9.8447552
Arkansas,023,1,15028.813,1876.4734,59.100861,7075.2197,7200,1700,800,1940,16.39529854910714,8000,62308,.014444374,9.484355,8.8643541
