year,nameBea,stateabbrev,liInc,lvalue,dlpop,lagliInc,dliInc
1950,Alabama,AL,9.0601759,10.659655,.7216692,8.1913586,4.3440866
1951,Alabama,AL,9.1248608,,.7195282,8.1063128,5.0927401
1952,Alabama,AL,9.1634359,,.72667599,7.883553,6.3994145
1953,Alabama,AL,9.2037783,,.68711281,7.9628725,6.2045288
1954,Alabama,AL,9.1749954,,.57793617,8.1680965,5.0344944
1955,Alabama,AL,9.2935047,,.5743885,8.1865177,5.534935
1956,Alabama,AL,9.342083,,.56475163,8.3161707,5.1295614
1957,Alabama,AL,9.3559256,,.59173107,8.3457155,5.0510502
1958,Alabama,AL,9.3533411,,.63277721,8.2718649,5.4073811
1959,Alabama,AL,9.3839989,,.64896584,8.3218002,5.3109932
1960,Alabama,AL,9.3874645,11.107795,.70224762,8.4270401,4.8021221
1961,Alabama,AL,9.3953466,,.66679478,8.6665649,3.6439085
1962,Alabama,AL,9.4331913,,.59531212,8.8898067,2.7169228
1963,Alabama,AL,9.4731903,,.75563908,9.0701227,2.0153379
1964,Alabama,AL,9.5323582,,.96520901,9.1683722,1.8199301
1965,Alabama,AL,9.5867395,,1.0874796,9.2063074,1.9021606
1966,Alabama,AL,9.6227942,,.87823391,9.0840635,2.6936531
1967,Alabama,AL,9.6488867,,.80460548,9.0122671,3.1830978
1968,Alabama,AL,9.7001505,,.74494362,9.0250721,3.375392
1969,Alabama,AL,9.7467852,,.68429947,8.9841309,3.8132715
1970,Alabama,AL,9.7712917,11.217018,.60284138,9.0601759,3.5555792
1971,Alabama,AL,9.8074865,,.66973209,9.1248608,3.4131289
1972,Alabama,AL,9.8711672,,.71561337,9.1634359,3.5386562
1973,Alabama,AL,9.922431,,.79726696,9.2037783,3.5932636
1974,Alabama,AL,9.9128923,,.92679977,9.1749954,3.6894846
1975,Alabama,AL,9.9201441,,.93957901,9.2935047,3.1331968
1976,Alabama,AL,9.9727116,,.98167419,9.342083,3.1531429
1977,Alabama,AL,9.9963818,,.98073006,9.3559256,3.202281
1978,Alabama,AL,10.032548,,.96209526,9.3533411,3.3960342
1979,Alabama,AL,10.024446,,.94355106,9.3839989,3.2022333
1980,Alabama,AL,9.989583,11.455637,.87529182,9.3874645,3.0105925
1981,Alabama,AL,9.9926672,,.83478928,9.3953466,2.9866028
1982,Alabama,AL,9.9882832,,.83282948,9.4331913,2.7754593
1983,Alabama,AL,10.022128,,.7916832,9.4731903,2.744689
1984,Alabama,AL,10.075423,,.75936794,9.5323582,2.7153254
1985,Alabama,AL,10.108072,,.71528435,9.5867395,2.6066637
1986,Alabama,AL,10.138533,,.70879936,9.6227942,2.5786924
1987,Alabama,AL,10.155502,,.74706078,9.6488867,2.5330782
1988,Alabama,AL,10.183519,,.77511311,9.7001505,2.4168444
1989,Alabama,AL,10.21651,,.79174519,9.7467852,2.3486233
1990,Alabama,AL,10.219332,11.454315,.80200672,9.7712917,2.2402
1991,Alabama,AL,10.223133,,.7937336,9.8074865,2.0782328
1992,Alabama,AL,10.248635,,.79963207,9.8711672,1.8873405
1993,Alabama,AL,10.24783,,.81441402,9.922431,1.626997
1994,Alabama,AL,10.271437,,.80347538,9.9128923,1.7927217
1995,Alabama,AL,10.290306,,.77406406,9.9201441,1.8508101
1996,Alabama,AL,10.296094,,.7374239,9.9727116,1.6169119
1997,Alabama,AL,10.315646,,.71921349,9.9963818,1.5963221
1998,Alabama,AL,10.350906,,.69365978,10.032548,1.5917921
1999,Alabama,AL,10.361994,,.67660332,10.024446,1.6877413
2000,Alabama,AL,10.375996,11.638978,.66160679,9.989583,1.9320631
2001,Alabama,AL,10.388847,,.65570831,9.9926672,1.9809008
2002,Alabama,AL,10.400289,,.66104412,9.9882832,2.0600271
2003,Alabama,AL,10.412023,,.67584991,10.022128,1.9494724
2004,Alabama,AL,10.451092,,.68352699,10.075423,1.8783426
2005,Alabama,AL,10.471033,,.70034981,10.108072,1.8148041
2006,Alabama,AL,10.482131,,.74076176,10.138533,1.7179918
2007,Alabama,AL,10.503011,,.75832367,10.155502,1.7375422
2008,Alabama,AL,10.503944,,.79596043,10.183519,1.6021252
2009,Alabama,AL,10.464876,,.82996845,10.21651,1.2418318
2010,Alabama,AL,10.464787,11.670381,.83408833,10.219332,1.2272739
1950,Arkansas,AR,8.9872513,10.569407,.13008118,8.0333385,4.7695637
1951,Arkansas,AR,9.035284,,.14138222,8.0509329,4.9217558
1952,Arkansas,AR,9.0871315,,.0054454803,7.8387489,6.2419128
1953,Arkansas,AR,9.1150751,,-.20365715,7.8939748,6.1055017
1954,Arkansas,AR,9.1183977,,-.39888382,8.0408583,5.3876972
1955,Arkansas,AR,9.2142248,,-.45674801,8.132102,5.410614
1956,Arkansas,AR,9.2445774,,-.5232811,8.2922926,4.7614241
1957,Arkansas,AR,9.2236586,,-.46788692,8.2965899,4.6353436
1958,Arkansas,AR,9.2456751,,-.55338383,8.2108431,5.17416
1959,Arkansas,AR,9.3139658,,-.51882744,8.3013039,5.0633097
1960,Arkansas,AR,9.2905836,10.85814,-.44366837,8.3364315,4.7707605
1961,Arkansas,AR,9.3524237,,-.42443275,8.5657949,3.9331436
1962,Arkansas,AR,9.3800697,,-.33902168,8.8102503,2.8490973
1963,Arkansas,AR,9.4155149,,.096936226,8.90446,2.555275
1964,Arkansas,AR,9.4734926,,.343647,9.0911779,1.9115734
1965,Arkansas,AR,9.5138779,,.37257195,9.1455383,1.8416977
1966,Arkansas,AR,9.5897112,,.25383472,9.0814753,2.5411797
1967,Arkansas,AR,9.6170893,,.1766777,8.924881,3.4610415
1968,Arkansas,AR,9.6570358,,.20663261,9.0239239,3.1655598
1969,Arkansas,AR,9.7028465,,.18367767,8.9591465,3.7185001
1970,Arkansas,AR,9.7293301,11.057405,.057520866,8.9872513,3.7103939
1971,Arkansas,AR,9.7700357,,.18341064,9.035284,3.6737585
1972,Arkansas,AR,9.83745,,.46743393,9.0871315,3.7515926
1973,Arkansas,AR,9.9313335,,.72679996,9.1150751,4.0812922
1974,Arkansas,AR,9.9201727,,.95845222,9.1183977,4.0088749
1975,Arkansas,AR,9.8992996,,1.1204481,9.2142248,3.425374
1976,Arkansas,AR,9.9429255,,1.2057209,9.2445774,3.4917402
1977,Arkansas,AR,9.9724045,,1.2094164,9.2236586,3.7437296
1978,Arkansas,AR,10.033295,,1.3056231,9.2456751,3.938098
1979,Arkansas,AR,10.007651,,1.2817574,9.3139658,3.4684277
1980,Arkansas,AR,9.9499321,11.36943,1.2317181,9.2905836,3.2967424
1981,Arkansas,AR,9.9750175,,1.1941767,9.3524237,3.1129694
1982,Arkansas,AR,9.9655447,,1.0680056,9.3800697,2.9273748
1983,Arkansas,AR,9.989995,,1.0340214,9.4155149,2.8724003
1984,Arkansas,AR,10.050436,,1.005969,9.4734926,2.884717
1985,Arkansas,AR,10.074866,,1.0295439,9.5138779,2.8049421
1986,Arkansas,AR,10.100086,,1.026969,9.5897112,2.5518751
1987,Arkansas,AR,10.097918,,1.0438871,9.6170893,2.4041414
1988,Arkansas,AR,10.124281,,1.041894,9.6570358,2.3362255
1989,Arkansas,AR,10.142875,,1.0209513,9.7028465,2.200141
1990,Arkansas,AR,10.138245,11.306045,.9982729,9.7293301,2.0445728
1991,Arkansas,AR,10.144604,,.94679356,9.7700357,1.8728399
1992,Arkansas,AR,10.18528,,.89971066,9.83745,1.7391491
1993,Arkansas,AR,10.185481,,.88341713,9.9313335,1.2707376
1994,Arkansas,AR,10.207195,,.85887432,9.9201727,1.435113
1995,Arkansas,AR,10.222025,,.80517292,9.8992996,1.6136265
1996,Arkansas,AR,10.241569,,.85301876,9.9429255,1.4932156
1997,Arkansas,AR,10.25351,,.82096577,9.9724045,1.40553
1998,Arkansas,AR,10.284934,,.79320431,10.033295,1.2581968
1999,Arkansas,AR,10.298871,,.77935696,10.007651,1.4560986
2000,Arkansas,AR,10.311969,11.482866,.78644753,9.9499321,1.8101835
2001,Arkansas,AR,10.33948,,.80087662,9.9750175,1.8223143
2002,Arkansas,AR,10.340247,,.82518578,9.9655447,1.8735123
2003,Arkansas,AR,10.363915,,.8349371,9.989995,1.8696022
2004,Arkansas,AR,10.398578,,.85010052,10.050436,1.7407084
2005,Arkansas,AR,10.407641,,.89122772,10.074866,1.6638756
2006,Arkansas,AR,10.421939,,.95320225,10.100086,1.6092634
2007,Arkansas,AR,10.4662,,.97844124,10.097918,1.8414116
2008,Arkansas,AR,10.470448,,1.0230637,10.124281,1.7308378
2009,Arkansas,AR,10.443468,,1.0537958,10.142875,1.5029669
2010,Arkansas,AR,10.439471,11.529545,1.0745955,10.138245,1.5061331
1950,Arizona,AZ,9.4690981,10.942631,2.7749872,8.8637047,3.026967
1951,Arizona,AZ,9.5675268,,3.0211306,8.7708635,3.9833164
1952,Arizona,AZ,9.6043234,,3.4067059,8.5842295,5.1004696
1953,Arizona,AZ,9.5974321,,3.7063313,8.596343,5.0054455
1954,Arizona,AZ,9.5784206,,3.8964081,8.724185,4.2711782
1955,Arizona,AZ,9.6146421,,4.1081285,8.8402557,3.871932
1956,Arizona,AZ,9.6555548,,4.3291473,8.9332867,3.6113405
1957,Arizona,AZ,9.645031,,4.5482302,8.9881449,3.2844305
1958,Arizona,AZ,9.617466,,4.7002029,8.9548216,3.3132219
1959,Arizona,AZ,9.6543007,,4.787879,8.9937668,3.3026695
1960,Arizona,AZ,9.6800289,11.362978,4.867692,9.0158939,3.3206749
1961,Arizona,AZ,9.6919966,,5.2536821,9.2019033,2.4504662
1962,Arizona,AZ,9.7118883,,5.1041031,9.4612532,1.2531757
1963,Arizona,AZ,9.7148294,,4.1668463,9.4947443,1.1004257
1964,Arizona,AZ,9.7485867,,4.6169281,9.521101,1.1374283
